x-axis,FFT
Hertz,Volt
-13.00000E+03,
-12.96948E+03,
-12.93896E+03,
-12.90845E+03,
-12.87793E+03,
-12.84741E+03,
-12.81689E+03,
-12.78638E+03,
-12.75586E+03,
-12.72534E+03,
-12.69482E+03,
-12.66431E+03,
-12.63379E+03,
-12.60327E+03,
-12.57275E+03,
-12.54224E+03,
-12.51172E+03,
-12.48120E+03,
-12.45068E+03,
-12.42017E+03,
-12.38965E+03,
-12.35913E+03,
-12.32861E+03,
-12.29810E+03,
-12.26758E+03,
-12.23706E+03,
-12.20654E+03,
-12.17603E+03,
-12.14551E+03,
-12.11499E+03,
-12.08447E+03,
-12.05396E+03,
-12.02344E+03,
-11.99292E+03,
-11.96240E+03,
-11.93188E+03,
-11.90137E+03,
-11.87085E+03,
-11.84033E+03,
-11.80981E+03,
-11.77930E+03,
-11.74878E+03,
-11.71826E+03,
-11.68774E+03,
-11.65723E+03,
-11.62671E+03,
-11.59619E+03,
-11.56567E+03,
-11.53516E+03,
-11.50464E+03,
-11.47412E+03,
-11.44360E+03,
-11.41309E+03,
-11.38257E+03,
-11.35205E+03,
-11.32153E+03,
-11.29102E+03,
-11.26050E+03,
-11.22998E+03,
-11.19946E+03,
-11.16895E+03,
-11.13843E+03,
-11.10791E+03,
-11.07739E+03,
-11.04688E+03,
-11.01636E+03,
-10.98584E+03,
-10.95532E+03,
-10.92480E+03,
-10.89429E+03,
-10.86377E+03,
-10.83325E+03,
-10.80273E+03,
-10.77222E+03,
-10.74170E+03,
-10.71118E+03,
-10.68066E+03,
-10.65015E+03,
-10.61963E+03,
-10.58911E+03,
-10.55859E+03,
-10.52808E+03,
-10.49756E+03,
-10.46704E+03,
-10.43652E+03,
-10.40601E+03,
-10.37549E+03,
-10.34497E+03,
-10.31445E+03,
-10.28394E+03,
-10.25342E+03,
-10.22290E+03,
-10.19238E+03,
-10.16187E+03,
-10.13135E+03,
-10.10083E+03,
-10.07031E+03,
-10.03979E+03,
-10.00928E+03,
-9.97876E+03,
-9.94824E+03,
-9.91772E+03,
-9.88721E+03,
-9.85669E+03,
-9.82617E+03,
-9.79565E+03,
-9.76514E+03,
-9.73462E+03,
-9.70410E+03,
-9.67358E+03,
-9.64307E+03,
-9.61255E+03,
-9.58203E+03,
-9.55151E+03,
-9.52100E+03,
-9.49048E+03,
-9.45996E+03,
-9.42944E+03,
-9.39893E+03,
-9.36841E+03,
-9.33789E+03,
-9.30737E+03,
-9.27686E+03,
-9.24634E+03,
-9.21582E+03,
-9.18530E+03,
-9.15479E+03,
-9.12427E+03,
-9.09375E+03,
-9.06323E+03,
-9.03271E+03,
-9.00220E+03,
-8.97168E+03,
-8.94116E+03,
-8.91064E+03,
-8.88013E+03,
-8.84961E+03,
-8.81909E+03,
-8.78857E+03,
-8.75806E+03,
-8.72754E+03,
-8.69702E+03,
-8.66650E+03,
-8.63599E+03,
-8.60547E+03,
-8.57495E+03,
-8.54443E+03,
-8.51392E+03,
-8.48340E+03,
-8.45288E+03,
-8.42236E+03,
-8.39185E+03,
-8.36133E+03,
-8.33081E+03,
-8.30029E+03,
-8.26978E+03,
-8.23926E+03,
-8.20874E+03,
-8.17822E+03,
-8.14771E+03,
-8.11719E+03,
-8.08667E+03,
-8.05615E+03,
-8.02563E+03,
-7.99512E+03,
-7.96460E+03,
-7.93408E+03,
-7.90356E+03,
-7.87305E+03,
-7.84253E+03,
-7.81201E+03,
-7.78149E+03,
-7.75098E+03,
-7.72046E+03,
-7.68994E+03,
-7.65942E+03,
-7.62891E+03,
-7.59839E+03,
-7.56787E+03,
-7.53735E+03,
-7.50684E+03,
-7.47632E+03,
-7.44580E+03,
-7.41528E+03,
-7.38477E+03,
-7.35425E+03,
-7.32373E+03,
-7.29321E+03,
-7.26270E+03,
-7.23218E+03,
-7.20166E+03,
-7.17114E+03,
-7.14063E+03,
-7.11011E+03,
-7.07959E+03,
-7.04907E+03,
-7.01855E+03,
-6.98804E+03,
-6.95752E+03,
-6.92700E+03,
-6.89648E+03,
-6.86597E+03,
-6.83545E+03,
-6.80493E+03,
-6.77441E+03,
-6.74390E+03,
-6.71338E+03,
-6.68286E+03,
-6.65234E+03,
-6.62183E+03,
-6.59131E+03,
-6.56079E+03,
-6.53027E+03,
-6.49976E+03,
-6.46924E+03,
-6.43872E+03,
-6.40820E+03,
-6.37769E+03,
-6.34717E+03,
-6.31665E+03,
-6.28613E+03,
-6.25562E+03,
-6.22510E+03,
-6.19458E+03,
-6.16406E+03,
-6.13354E+03,
-6.10303E+03,
-6.07251E+03,
-6.04199E+03,
-6.01147E+03,
-5.98096E+03,
-5.95044E+03,
-5.91992E+03,
-5.88940E+03,
